Name,Timestamp,Time Delay (seconds),Number Entered
ratan,2025-08-02 19:21:27,0.00,2
ratan,2025-08-02 19:21:29,1.97,3
ratan,2025-08-02 19:21:31,2.04,1
ratan,2025-08-02 19:21:33,1.99,9
ratan,2025-08-02 19:21:35,1.71,7
ratan,2025-08-02 19:21:37,1.96,8
ratan,2025-08-02 19:21:39,1.67,0
ratan,2025-08-02 19:21:40,1.45,4
ratan,2025-08-02 19:21:42,1.77,5
ratan,2025-08-02 19:21:44,1.78,6
ratan,2025-08-02 19:21:45,1.78,7
ratan,2025-08-02 19:21:47,1.72,3
ratan,2025-08-02 19:21:51,4.46,4
ratan,2025-08-02 19:21:53,1.76,6
ratan,2025-08-02 19:21:55,1.75,9
ratan,2025-08-02 19:21:57,1.84,0
ratan,2025-08-02 19:21:58,1.60,1
ratan,2025-08-02 19:22:00,1.89,3
ratan,2025-08-02 19:22:02,1.70,8
ratan,2025-08-02 19:22:04,1.86,5
ratan,2025-08-02 19:22:06,1.68,9
ratan,2025-08-02 19:22:07,1.78,7
ratan,2025-08-02 19:22:09,1.76,6
ratan,2025-08-02 19:22:11,1.84,7
ratan,2025-08-02 19:22:13,1.66,4
ratan,2025-08-02 19:22:14,1.77,1
ratan,2025-08-02 19:22:16,1.85,0
ratan,2025-08-02 19:22:18,1.56,4
ratan,2025-08-02 19:22:20,1.93,2
ratan,2025-08-02 19:22:21,1.67,7
ratan,2025-08-02 19:22:23,1.85,7
ratan,2025-08-02 19:22:25,1.76,8
ratan,2025-08-02 19:22:36,10.55,4
